px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
6.73324	-7.1952	-2.84284	-2.57213	-0.478499	6.7556	-7.14598	6.75	-7.15	2.99862	1.99908	0.198565
6.77873	-7.08448	-2.53352	-2.49858	-0.289026	6.68682	-6.93297	6.8	-7.05	0.908005	1.816	9.31414
6.88902	-6.98968	-2.54959	-2.50755	-0.281424	6.86356	-6.94732	6.85	-6.95	0.908	1.81601	0.132838
7.02501	-6.9133	-2.62463	-2.54836	-0.32933	7.08741	-6.92602	7	-6.85	2.72856	1.81904	0.724929
7.1566	-6.8097	-2.68892	-2.55652	-0.317342	7.15695	-6.75136	7.15	-6.75	2.72854	1.81902	0.21341
7.2309	-6.71165	-2.47983	-2.50962	-0.194043	7.29976	-6.68807	7.25	-6.65	1.8202	1.8202	4.2012
7.35176	-6.61015	-2.53834	-2.5111	-0.182823	7.35505	-6.56058	7.35	-6.55	1.82018	1.82018	0.158551
7.5226	-6.55598	-2.81003	-2.60699	-0.348255	7.53544	-6.5372	7.5	-6.5	2.99964	0.999884	8.34604
7.649	-6.47815	-2.83301	-2.62174	-0.344797	7.65664	-6.46417	7.65	-6.45	2.99964	0.999884	0.0175176
7.76367	-6.39867	-2.7484	-2.62343	-0.314077	7.67559	-6.34628	7.75	-6.4	1.81709	0.908549	0.40431
7.88122	-6.33844	-2.69774	-2.64561	-0.321184	7.85193	-6.35845	7.85	-6.35	1.81709	0.908545	0.0863304
8.00128	-6.26818	-2.63748	-2.65332	-0.301304	8.03231	-6.28406	8	-6.25	2.72931	1.81954	0.181126
8.13644	-6.18419	-2.6766	-2.66094	-0.290213	8.13749	-6.14586	8.15	-6.15	2.72928	1.81952	0.0941489
8.2049	-6.10875	-2.40297	-2.62415	-0.193758	8.21488	-6.01843	8.25	-6.05	1.99977	1.99976	3.78879
8.32449	-6.01789	-2.47986	-2.61653	-0.17205	8.33626	-5.94674	8.35	-5.95	1.99977	1.99976	0.339126
8.48937	-5.95152	-2.7438	-2.66615	-0.251455	8.50318	-5.89335	8.5	-5.9	2.72796	0.909326	3.25908
8.63337	-5.874	-2.77766	-2.67607	-0.245833	8.65894	-5.86309	8.65	-5.85	2.72796	0.909321	0.0501518
8.71167	-5.7917	-2.42725	-2.63088	-0.134919	8.77185	-5.74314	8.75	-5.75	1.81776	1.81775	4.94106
8.84129	-5.69899	-2.49306	-2.62236	-0.115106	8.85444	-5.64273	8.85	-5.65	1.81774	1.81773	0.224982
8.92431	-5.6274	-2.32291	-2.59581	-0.0541208	9.02394	-5.6024	8.95	-5.55	1.99657	1.99656	1.75502
9.03893	-5.53119	-2.40511	-2.57727	-0.0281968	9.05088	-5.45385	9.05	-5.45	1.99654	1.99655	0.402946
9.19372	-5.45928	-2.70146	-2.62225	-0.116013	9.04088	-5.29691	9.2	-5.4	2.72728	0.909094	4.77539
9.33171	-5.36575	-2.74929	-2.61701	-0.101792	9.34223	-5.32623	9.35	-5.35	2.72727	0.90909	0.113662
9.40438	-5.275	-2.41136	-2.56126	0.00940951	9.39579	-5.21659	9.45	-5.25	1.81816	1.81815	4.61903
9.52885	-5.17663	-2.47672	-2.54661	0.0269435	9.55303	-5.13194	9.55	-5.15	1.81813	1.81813	0.180309
9.61818	-5.09616	-2.31213	-2.51665	0.0817819	9.75019	-5.14652	9.65	-5.05	1.82036	1.82036	1.62644
9.73607	-4.98941	-2.39171	-2.49426	0.103513	9.7586	-4.93134	9.75	-4.95	1.82036	1.82037	0.270548
9.82146	-4.90006	-2.26344	-2.45829	0.158076	9.9198	-4.86941	9.85	-4.85	1.81578	1.81577	1.20728
9.93178	-4.79245	-2.33725	-2.43463	0.176189	9.95641	-4.74358	9.95	-4.75	1.81575	1.81575	0.210529
10.0054	-4.69071	-2.21844	-2.38511	0.242794	10.0029	-4.54771	10.05	-4.6	1.82039	2.7306	1.44925
10.1158	-4.55112	-2.35673	-2.34258	0.277354	10.1428	-4.45119	10.15	-4.45	1.8204	2.7306	0.748942
10.1995	-4.43894	-2.34776	-2.30493	0.311343	10.1981	-4.26556	10.25	-4.3	1.81769	2.72652	0.479307
10.315	-4.2754	-2.52814	-2.25698	0.347769	10.3644	-4.16342	10.35	-4.15	1.81768	2.7265	1.06525
10.4463	-4.17575	-2.70016	-2.29648	0.245964	10.5985	-4.12247	10.45	-4.05	1.81792	1.81792	2.81282
